"id","fqdn/ip","port","severity","finding","cve","cwe"
"TLS_timestamp","beta.gouv.fr/5.104.101.30","443","INFO","random","",""
"certificate_compression","beta.gouv.fr/5.104.101.30","443","INFO","none","",""
"clientAuth","beta.gouv.fr/5.104.101.30","443","INFO","none","",""
"cert_numbers","beta.gouv.fr/5.104.101.30","443","INFO","1","",""
"cert_signatureAlgorithm","beta.gouv.fr/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","beta.gouv.fr/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","beta.gouv.fr/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","beta.gouv.fr/5.104.101.30","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","beta.gouv.fr/5.104.101.30","443","INFO","0450BEBF3A15ECEA707303F248D8C21B2A3F","",""
"cert_serialNumberLen","beta.gouv.fr/5.104.101.30","443","INFO","18","",""
"cert_fingerprintSHA1","beta.gouv.fr/5.104.101.30","443","INFO","B7D01BBCB29F33E2E38E07FB4AF0C7E878F2766C","",""
"cert_fingerprintSHA256","beta.gouv.fr/5.104.101.30","443","INFO","595349CD78E6A007ACFC2550274ADEE746D71BE914FF3E479A03BE3F886A9BFA","",""
